Creation , Production started , Production complete , Type
85.66242099297266 , 96.08507292150708 , 96.39435277239012 , 0
94.85973352626446 , 94.85973352626446 , 98.60021015749619 , 0
85.66537279403911 , 94.50301268372715 , 98.71673112143317 , 0
88.22391852538576 , 96.39435277239012 , 99.47322820841202 , 0
90.28694381618294 , 98.71673112143317 , 101.21124572957753 , 0
97.31417019620625 , 98.60021015749619 , 101.32460332723242 , 0
92.68273345558447 , 99.47322820841202 , 102.34409821397023 , 0
94.53004529482222 , 102.34409821397023 , 102.48695196160484 , 0
99.96419968824219 , 101.32460332723242 , 103.68673822034671 , 0
92.74179544284087 , 101.21124572957753 , 104.72777506856745 , 0
100.97928529333467 , 103.68673822034671 , 105.53734020790745 , 0
96.64424145305662 , 102.48695196160484 , 105.73964985663004 , 0
94.12470646878418 , 104.72777506856745 , 106.37997765258204 , 0
